canton,provincia,Poblacion total,Superficie (km2),Densidad de poblacion - Personas por km2,Porcentaje de poblacion urbana - Personas que viven en zona urbana por cada 100,Relacion hombres-mujeres - Hombres por cada 100mujeres,Relacion de dependencia demografica - Personas dependientes (menores de 15anhos o de 65y mas) por cada 100personas en edad productiva (15a 64anhos),Viviendas individuales ocupadas,Promedio de ocupantes - Promedio de personas por vivienda individual ocupada,Porcentaje de viviendas en buen estado,Porcentaje de viviendas hacinadas - Viviendas con mas de 3personas por dormitorio por cada cien viviendas ocupadas,Porcentaje de alfabetismo - Personas que saben leer y escribir de cada 100,Porcentaje de alfabetismo - 10a 24anhos,Porcentaje de alfabetismo - 25y mas anhos,Escolaridad promedio - Promedio de anhos aprobados de educacion regular,Escolaridad promedio - 25a 49anhos,Escolaridad promedio - 50o mas anhos,Porcentaje de asistencia a la educacion regular,Porcentaje de asistencia a la educacion regular - Menor de 5anhos,Porcentaje de asistencia a la educacion regular - 5a 17anhos,Porcentaje de asistencia a la educacion regular - 18a 24anhos,Porcentaje de asistencia a la educacion regular - 25y mas anhos,Personas fuera de la fuerza de trabajo (15anhos y mas),Tasa neta de participacion - Personas en la fuerza de trabajo (ocupadas y desocupadas) por cada 100personas de 15anhos y mas,Tasa neta de participacion - Hombres,Tasa neta de participacion - Mujeres,Porcentaje de poblacion ocupada no asegurada,Porcentaje de poblacion nacida en el extranjero,Porcentaje de poblacion con discapacidad,Porcentaje de poblacion no asegurada,Porcentaje de hogares con jefatura femenina,Porcentaje de hogares con jefatura compartida
PAIS,COSTA RICA,4301712,51100,84,72.8,95.9,47.2,1211964,3.5,63.7,5.2,97.6,99.2,96.8,8.5,9.2,7.3,32.9,13.7,87.6,44.1,8.2,46.5,53.5,72.1,36.1,14.5,9,10.5,14.5,30,7.4
PROVINCIA,ALAJUELA,848146,9758,87,60.7,98.5,48.1,236927,3.6,64.1,4.9,97,99,96,7.9,8.6,6.5,99999,12.2,87.4,41.9,7.2,47.1,52.9,73.4,33.1,17.2,10.4,9.9,16.6,26.1,7.7
ALAJUELA,ALAJUELA,254886,388.4,656,88,97.4,44.3,72031,3.49,68.9,4.3,98.2,99.3,97.7,8.7,9.4,7.4,31.6,13.6,88.5,43.2,8.3,44.2,55.8,73.8,38.6,12.4,10.1,9.6,13.4,28.2,7.6
SAN RAMON,ALAJUELA,80566,1018.6,79,52.9,96.4,47.5,23301,3.44,66.7,3.4,97.5,99.1,96.7,8.2,9,6.9,34.6,15.2,89,51.1,8.6,49,51,71.1,32.1,18.3,6.9,10.4,15.4,28.4,8.3
GRECIA,ALAJUELA,76898,395.7,194,61.5,98.4,46.2,21709,3.53,67.6,3.2,97.5,99.1,96.7,8,8.8,6.6,31.5,14.2,88.4,42.3,6.2,46.2,53.8,74.8,33.4,15,9.1,10.1,14.4,24,7
SAN MATEO,ALAJUELA,6136,125.9,49,26.3,104,51.4,1834,3.34,55.2,3.2,97.7,99.6,96.9,7.5,8.3,6.5,27.9,12.3,84,39.1,5,55.3,44.7,67,21.7,20.7,5.3,11.6,15.9,21.5,8.7
ATENAS,ALAJUELA,25460,127.2,200,56.2,100.1,44.9,7472,3.41,74.4,2.3,98,99.3,97.4,8.5,9.4,7.3,30.6,12.7,90.5,50.4,6.7,49.3,50.7,70.3,31.6,12.7,8.2,9.4,10.8,22.9,8.5
NARANJO,ALAJUELA,42713,126.6,337,53.9,95.8,47.8,11678,3.65,65.8,3.5,97.4,99,96.5,7.6,8.5,6.1,32.7,13.5,90.2,46,6.2,49.3,50.7,72.9,30,17.8,6.8,9.6,16.4,26.4,7.2
PALMARES,ALAJUELA,34716,38.1,912,80.9,97.1,44.6,9657,3.58,65.9,2.2,98.2,99.3,97.7,8.6,9.5,7.2,33.4,19.8,91.4,55.7,7.7,48.3,51.7,70.7,33.7,16.2,4,9.7,13.3,27.6,9.5
POAS,ALAJUELA,29199,73.8,395,57.9,98.8,46.4,7906,3.69,70.1,4.1,97.4,99,96.6,7.5,8.3,5.9,31.1,14.5,87.6,40.2,5.7,46.9,53.1,75.2,31.8,15.8,7.5,9.3,14.3,22.8,9.3
